timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,economic_index,market_demand_index,internet_traffic_index
01-01-2023,US-East,Compute,698.17,752.97,337.8,98.69,,127.42,127.05
01-01-2023,US-West,Compute,593.24,690.18,341.84,99.89,105.26,112.09,129.16
01-01-2023,Europe-North,Storage,218.63,681.38,110.69,99.47,92.88,108.36,106.98
01-01-2023,Europe-North,Storage,571.27,602.85,70.56,97.81,111.43,99.8,146.93
01-01-2023,US-West,Storage,480.3,374.19,475.74,98.61,114.22,96.51,143.22
01-01-2023,US-West,Storage,662.63,897.15,298,98.94,120.16,116.88,139.5
01-01-2023,Europe-North,Compute,337.74,387.91,164.24,99.52,95.68,102.21,142.5
01-01-2023,Europe-North,Compute,511.1,433.62,-2.48,99.65,111.08,106.95,112.89
01-01-2023,US-West,Storage,509.89,529.86,392.24,98.15,113.1,111.63,133.7
01-01-2023,India-South,Compute,398.59,552.48,328.68,97.86,,106.2,145.58
01-01-2023,India-South,Storage,787.18,846.01,426.15,99.89,104.41,98.59,132.29
01-01-2023,India-South,Storage,608.56,1023.68,260.75,97.63,93.42,98.37,139.71
01-01-2023,US-East,Compute,398.46,667.77,276.79,97.65,122.34,113.69,139.19
02-01-2023,Europe-North,Compute,,989.6,340.87,97.61,98.75,111.18,141.31
02-01-2023,US-East,Storage,548.5,736.54,212.42,97.69,104.81,99.4,138.03
02-01-2023,US-East,Compute,517.99,817.74,273.26,98.34,95.83,74.15,105.38
02-01-2023,Europe-North,Storage,480.82,654.48,355.92,99.59,100.49,101.03,145.98
02-01-2023,India-South,Compute,487.87,436.38,311.56,98.74,115.29,121.66,123.55
02-01-2023,India-South,Storage,353.1,822.87,325.77,98.5,114.82,121.17,145.74
02-01-2023,Europe-North,Storage,324.92,727.51,220.11,99.56,97.93,101.67,134.84
03-01-2023,Europe-North,Storage,523.45,853,223.97,97.55,108.23,91.98,99.06
03-01-2023,Europe-North,Compute,407.31,731.91,218.17,96.54,98.7,106.78,152.29
03-01-2023,Europe-North,Compute,675.85,681.59,412.73,99.19,113.55,128.7,122.66
03-01-2023,US-West,Compute,573.86,770.7,142.54,97.28,107.78,102.15,148.33
03-01-2023,US-East,Storage,501.38,743.13,273.99,96.56,108.87,125.05,119.64
03-01-2023,India-South,Compute,,710.21,69.96,97.64,117.83,92.72,109.78
03-01-2023,India-South,Storage,748.25,770.47,183.97,98.24,88.51,110.4,122.28
03-01-2023,India-South,Storage,632.07,626.03,200.64,97.49,101.5,93.95,149.94
04-01-2023,Europe-North,Compute,668.74,610.88,,98.45,109.53,97.74,126.22
04-01-2023,Europe-North,Compute,619.8,697.22,148.57,97,104.71,121.69,147.61
04-01-2023,US-East,Compute,573.52,752.5,137.89,97.86,101.18,118.89,164.89
04-01-2023,US-East,Storage,547.76,639.04,90.17,98.73,104.35,107,125.32
04-01-2023,US-East,Compute,460.93,400.13,224.46,98.8,103.32,101.15,121.25
05-01-2023,US-East,Compute,637.69,586.41,168.08,99.03,105.19,119.68,125.28
05-01-2023,Europe-North,Storage,541.31,806.98,321.16,96.93,100.93,89.85,159.67
05-01-2023,US-West,Compute,308.63,466.49,359.87,97.88,109.44,113.2,150.5
05-01-2023,US-West,Storage,423.69,568.43,146.04,97.59,104.33,97.32,130.66
05-01-2023,US-West,Compute,500.53,479.11,214.66,97.13,99.44,116.32,129.53
05-01-2023,US-East,Compute,637.17,519.56,293.38,97.52,115,100.91,120.42
05-01-2023,Europe-North,Storage,545.15,692.22,201.66,99.24,98.62,114.3,141.61
05-01-2023,India-South,Storage,523.91,849.51,349.76,96.79,92.21,98.99,146.26
05-01-2023,US-West,Compute,465.18,784.6,363.98,98.95,100.7,103.6,125.01
06-01-2023,Europe-North,Storage,388.6,576.75,286.44,96.68,122.44,109.01,125.42
06-01-2023,India-South,Storage,523.59,778.49,232.13,97.75,102.34,95.02,109.78
